,Grade,Grade Point
2011001,A,3.75
2011002,A,3.75
2011003,B+,3.25
2011004,B+,3.25
2011005,C,2.25
2011006,A,3.75
2011007,B,3
2011008,A-,3.5
2011009,A,3.75
2011010,B,3
2011011,B+,3.25
2011012,A-,3.5
2011013,A,3.75
2011014,A+,4
2011015,A+,4
2011016,A-,3.5
2011017,B+,3.25
2011018,A,3.75
2011019,F,0
2011020,A,3.75
2011021,A+,4
2011022,A-,3.5
2011023,A-,3.5
2011024,A,3.75
2011025,A,3.75
2011026,A,3.75
2011027,A-,3.5
2011028,A,3.75
2011029,A+,4
2011030,A+,4
