,Grade,Grade Point
2011001,A,3.75
2011002,A+,4
2011003,A+,4
2011004,A-,3.5
2011005,A-,3.5
2011006,A-,3.5
2011007,B+,3.25
2011008,A-,3.5
2011009,B+,3.25
2011010,B+,3.25
2011011,A-,3.5
2011012,A-,3.5
2011013,B+,3.25
2011014,A-,3.5
2011015,A-,3.5
2011016,B+,3.25
2011017,A-,3.5
2011018,A,3.75
2011019,F,0
2011020,A+,4
2011021,A,3.75
2011022,A-,3.5
2011023,A-,3.5
2011024,A,3.75
2011025,B+,3.25
2011026,A,3.75
2011027,A-,3.5
2011028,A-,3.5
2011029,A,3.75
2011030,B+,3.25
