,Grade,Grade Point
2011001,A-,3.5
2011002,A+,4
2011003,A+,4
2011004,A-,3.5
2011005,C,2.25
2011006,A+,4
2011007,A-,3.5
2011008,D,2
2011009,A-,3.5
2011010,C+,2.5
2011011,B,3
2011012,B,3
2011013,A-,3.5
2011014,B+,3.25
2011015,A+,4
2011016,B,3
2011017,A-,3.5
2011018,B,3
2011019,F,0
2011020,A-,3.5
2011021,A+,4
2011022,A,3.75
2011023,A+,4
2011024,B+,3.25
2011025,B-,2.75
2011026,B+,3.25
2011027,A,3.75
2011028,A,3.75
2011029,A,3.75
2011030,B+,3.25
