,Grade,Grade Point
2011001,B,3
2011002,A-,3.5
2011003,B+,3.25
2011004,B+,3.25
2011005,C,2.25
2011006,A-,3.5
2011007,B-,2.75
2011008,C,2.25
2011009,B,3
2011010,C,2.25
2011011,B+,3.25
2011012,B-,2.75
2011013,B-,2.75
2011014,A-,3.5
2011015,B+,3.25
2011016,C,2.25
2011017,B-,2.75
2011018,B+,3.25
2011019,F,0
2011020,A-,3.5
2011021,B+,3.25
2011022,B,3
2011023,A+,4
2011024,B-,2.75
2011025,C,2.25
2011026,C+,2.5
2011027,B+,3.25
2011028,C+,2.5
2011029,B+,3.25
2011030,C+,2.5
