,Grade,Grade Point
2011001,B+,3.25
2011002,A+,4
2011003,A+,4
2011004,A ,3.75
2011005,B-,2.75
2011006,A+,4
2011007,A,3.75
2011008,B,3
2011009,A-,3.5
2011010,A-,3.5
2011011,A,3.75
2011012,B+,3.25
2011013,A,3.75
2011014,B+,3.25
2011015,A+,4
2011016,B+,3.25
2011017,B-,2.75
2011018,B+,3.25
2011019,F,0
2011020,A,3.75
2011021,A+,4
2011022,A+,4
2011023,A+,4
2011024,A- ,3.5
2011025,A-,3.5
2011026,B+,3.25
2011027,A-,3.5
2011028,A-,3.5
2011029,B+,3.25
2011030,A-,3.5
