,Grade,Grade Point
2011001,B,3
2011002,B,3
2011003,B,3
2011004,B-,2.75
2011005,B-,2.75
2011006,B+,3.25
2011007,B-,2.75
2011008,C,2.25
2011009,B+,3.25
2011010,C+,2.5
2011011,B+,3.25
2011012,B-,2.75
2011013,C,2.25
2011014,B+,3.25
2011015,B-,2.75
2011016,C+,2.5
2011017,B,3
2011018,B,3
2011019,F,0
2011020,B-,2.75
2011021,A-,3.5
2011022,C+,2.5
2011023,B+,3.25
2011024,B-,2.75
2011025,C+,2.5
2011026,B-,2.75
2011027,B+,3.25
2011028,B-,2.75
2011029,B+,3.25
2011030,B-,2.75
